source,word,zh
第一階 第1課,aca,僅僅
第一階 第1課,ho,(加重語氣詞)；暫時
第一階 第1課,hani,呢；疑問助詞
第一階 第1課,kiso,你
第一階 第1課,mamaan,怎麼
第一階 第1課,nga'ay,好
第一階 第1課,singsi,老師(日語借詞)
第一階 第2課,cingra,他
第一階 第2課,caayay,不是的
第一階 第2課,hai,是的
第一階 第2課,mitiliday,學生
第一階 第2課,katomireng,請起立
第一階 第2課,kamaro',請坐下
第一階 第3課,mita'ong,請敬禮
第一階 第4課,cima,是誰
第一階 第4課,kako,我
第一階 第4課,Mayaw,(人名)
第一階 第4課,ngangan,名字
第一階 第4課,Sawmah,(人名)
第一階 第5課,fa'inayan,男生
第一階 第5課,fafahiyan,女生
第一階 第5課,kami,我們
第一階 第6課,cengel,顏色
第一階 第6課,kohetingay,黑色的
第一階 第6課,maolah,很喜歡，喜愛
第一階 第6課,waco,狗
第一階 第7課,icowa,在何處
第一階 第7課,ini,在這
第一階 第7課,ira,有
第一階 第7課,iraw,在那邊
第一階 第7課,ka'amisay,北邊的
第一階 第7課,rawang,間
第一階 第8課,anengan,椅子
第一階 第8課,koni,這個
第一階 第8課,kareteng,重
第一階 第8課,kahemaw,輕
第一階 第8課,kora,那個
第一階 第8課,maan,什麼
第一階 第8課,o,(名詞類別標記)
第一階 第8課,parad,桌子
第一階 第9課,ina,媽媽
第一階 第9課,mimanay,做什麼
第一階 第9課,malasingsiay,當老師
第一階 第9課,nira,他
第一階 第9課,tamdaw,人
第一階 第9課,tayal,工作
第一階 第10課,fafaed,上面
第一階 第10課,impic,鉛筆(日語借詞)
第一階 第10課,kahengangay,紅色的
第一階 第10課,mateli,放置
第一階 第10課,nima,誰的
,,
第二階 第1課,ama,祖母，外婆(台語借詞)
第二階 第1課,paro,裝入；容量
第二階 第1課,pitilidan,學校
第二階 第1課,kosiyaw,國民小學(漢語借詞)
第二階 第1課,safa,弟弟；妹妹
第二階 第1課,lalima,五個
第二階 第1課,yociyen,幼稚園(日語借詞)
第二階 第1課,mitilid,上學；寫字
第二階 第2課,aka ho,待會兒
第二階 第2課,harakaten,快點
第二階 第2課,kalomowad,起來了
第二階 第2課,maapac,睡覺
第二階 第2課,mafana',知道
第二階 第2課,malali'op,洗臉
第二階 第2課,maranam,吃早餐
第二階 第3課,malakaka,兄弟姊妹
第二階 第3課,mihecaan,年齡；歲
第二階 第3課,mo^etep,十
第二階 第3課,pina,多少
第二階 第3課,tatosa,兩個
第二階 第4課,fanaw,魚池；湖
第二階 第4課,loma',家；房屋
第二階 第4課,ngata,附近；靠近
第二階 第4課,rakat,走(步伐)
第二階 第4課,romi'ami'ad,每天
第二階 第4課,satimolan,南邊
第二階 第5課,anodafak,明天
第二階 第5課,Kakacawan,加走灣(長濱)(地名)
第二階 第5課,na icowaay,從哪裡來
第二階 第5課,naon,小心
第二階 第5課,Posong,台東(地名)
第二階 第5課,tatalacowa,將去哪裡
第二階 第6課,fangcal,好；美好
第二階 第6課,mifaca',洗衣服
第二階 第6課,misalama,去玩
第二階 第6課,mi'adop,去狩獵
第二階 第6課,riko',衣服
第二階 第6課,talalotok,去上山
第二階 第6課,alo,河
第二階 第7課,cidal,太陽
第二階 第7課,folad,月亮
第二階 第7課,masadak,正在出來
第二階 第7課,minengneng,正在看
第二階 第7課,minokay,回家
第二階 第8課,aray,謝謝
第二階 第8課,kayhi,雨衣
第二階 第8課,linay,傘
第二階 第8課,macidal,天晴
第二階 第8課,ma'orad,下雨
第二階 第8課,patiko,還
第二階 第9課,kadit,雲
第二階 第9課,kakarayan,天上；天空
第二階 第9課,kohcalay,白色的
第二階 第9課,manengneng,看起來；看見
第二階 第9課,tilo ni Idek,彩虹
第二階 第10課,hana,花(日語借詞)
第二階 第10課,kamay,手
第二階 第10課,matiya,好像
第二階 第10課,mipakpak,拍擊(手)
第二階 第10課,mita'ongay,敬禮
第二階 第10課,pala,田野地；土地
第二階 第10課,salipahak,很歡喜
第二階 第10課,seriw,微風吹聲
第二階 第10課,talod,蘆葦(葉)草
第三階 第1課,aloman,"很多(人,動物)"
第三階 第1課,malalok,勤勞；認真
第三階 第1課,matoka,懶惰
第三階 第1課,malakapot,一起
第三階 第1課,poener,很矮
第三階 第1課,takaraw,很高
第三階 第2課,apac,遲到
第三階 第2課,kangodoen,要尊重
第三階 第2課,kasasiolah,相親相愛
第三階 第2課,kadadama,互相幫助
第三階 第2課,mato'asay,老人；長輩
第三階 第2課,pasowal,告訴
第三階 第2課,pila'om,去浪費
第三階 第2課,payso,錢幣；元
第三階 第3課,cirot,畫眉鳥
第三階 第3課,facidol,麵包樹；麵包果
第三階 第3課,pahanhan,休息；下課
第三階 第3課,papotal,在外面
第三階 第3課,sa,(表示詞)
第三階 第3課,tanoradiw,鳥叫聲；(飛禽)唱歌
第三階 第4課,faki,舅舅
第三階 第4課,kerid,帶
第三階 第4課,maratar,起得早
第三階 第4課,malalisan,發燒
第三階 第4課,paising,給醫生看病
第三階 第4課,talacowa,去哪裡；雖然
第三階 第5課,kaolahan,喜愛的；最喜歡的
第三階 第5課,miyatayat,做運動
第三階 第5課,miyakiw,打棒球
第三階 第5課,naw,為什麼
第三階 第5課,sakanga'ay,使(身體)好
第三階 第5課,tatirengan,身體(軀)
第三階 第6課,ano matira,如果是如此
第三階 第6課,masakero,跳舞
第三階 第6課,romadiw,唱歌
第三階 第6課,tatata,走走走
第三階 第7課,^enem,六
第三階 第7課,dafak,早上
第三階 第7課,falo,八
第三階 第7課,lomowad,起床
第三階 第7課,mafoti,睡覺
第三階 第7課,pangkiw,半
第三階 第8課,awaay,沒有
第三階 第8課,anohoni,等一會；不久
第三階 第8課,tingwa,電話(日語借詞)
第三階 第8課,talaen ho,稍等
